"global_step","DRAsset_30-15-26-50 - _step","DRAsset_30-15-26-50 - _step__MIN","DRAsset_30-15-26-50 - _step__MAX","DRAsset_30-15-26-50 - rewards/step","DRAsset_30-15-26-50 - rewards/step__MIN","DRAsset_30-15-26-50 - rewards/step__MAX"
"135168000","661","661","661","110.92154693603516","110.92154693603516","110.92154693603516"
"135987200","665","665","665","110.96006774902344","110.96006774902344","110.96006774902344"
"136806400","669","669","669","110.95464324951172","110.95464324951172","110.95464324951172"
"137625600","673","673","673","111.09141540527344","111.09141540527344","111.09141540527344"
"138444800","677","677","677","111.0863037109375","111.0863037109375","111.0863037109375"
"139264000","681","681","681","111.18468475341797","111.18468475341797","111.18468475341797"
"140083200","685","685","685","111.18415832519531","111.18415832519531","111.18415832519531"
"140902400","689","689","689","111.17858123779297","111.17858123779297","111.17858123779297"
"141721600","693","693","693","111.18983459472656","111.18983459472656","111.18983459472656"
"142540800","697","697","697","110.33888244628906","110.33888244628906","110.33888244628906"
"143360000","701","701","701","110.50321197509766","110.50321197509766","110.50321197509766"
"144179200","705","705","705","111.21772003173828","111.21772003173828","111.21772003173828"
"144998400","709","709","709","111.2286605834961","111.2286605834961","111.2286605834961"
"145817600","713","713","713","111.16268920898438","111.16268920898438","111.16268920898438"
"146636800","717","717","717","111.27171325683594","111.27171325683594","111.27171325683594"
"147456000","721","721","721","111.22493743896484","111.22493743896484","111.22493743896484"
"148275200","725","725","725","110.67684936523438","110.67684936523438","110.67684936523438"
"149094400","729","729","729","111.26483917236328","111.26483917236328","111.26483917236328"
"149913600","733","733","733","111.3096923828125","111.3096923828125","111.3096923828125"
"150732800","737","737","737","111.32949829101562","111.32949829101562","111.32949829101562"
"151552000","741","741","741","111.29817199707031","111.29817199707031","111.29817199707031"
"152371200","745","745","745","111.36493682861328","111.36493682861328","111.36493682861328"
"153190400","749","749","749","111.47444915771484","111.47444915771484","111.47444915771484"
"154009600","753","753","753","111.39006805419922","111.39006805419922","111.39006805419922"
"154828800","757","757","757","110.8421630859375","110.8421630859375","110.8421630859375"
"155648000","761","761","761","111.31809997558594","111.31809997558594","111.31809997558594"
"156467200","765","765","765","111.32988739013672","111.32988739013672","111.32988739013672"
"157286400","769","769","769","111.32363891601562","111.32363891601562","111.32363891601562"
"158105600","773","773","773","111.32723236083984","111.32723236083984","111.32723236083984"
"158924800","777","777","777","111.32120513916016","111.32120513916016","111.32120513916016"
"159744000","781","781","781","111.4076919555664","111.4076919555664","111.4076919555664"
"160563200","785","785","785","111.3929443359375","111.3929443359375","111.3929443359375"
"161382400","789","789","789","111.36479949951172","111.36479949951172","111.36479949951172"
"162201600","793","793","793","111.30738830566406","111.30738830566406","111.30738830566406"
"163020800","797","797","797","111.37686157226562","111.37686157226562","111.37686157226562"
"163840000","801","801","801","111.47047424316406","111.47047424316406","111.47047424316406"
"164659200","805","805","805","111.44316101074219","111.44316101074219","111.44316101074219"
"165478400","809","809","809","111.5976333618164","111.5976333618164","111.5976333618164"
"166297600","813","813","813","111.51726531982422","111.51726531982422","111.51726531982422"
"167116800","817","817","817","111.55801391601562","111.55801391601562","111.55801391601562"
"167936000","821","821","821","111.55133819580078","111.55133819580078","111.55133819580078"
"168755200","825","825","825","111.57056427001953","111.57056427001953","111.57056427001953"
"169574400","829","829","829","111.56879425048828","111.56879425048828","111.56879425048828"
"170393600","833","833","833","111.571533203125","111.571533203125","111.571533203125"
"171212800","837","837","837","111.55996704101562","111.55996704101562","111.55996704101562"
"172032000","841","841","841","111.58295440673828","111.58295440673828","111.58295440673828"
"172851200","845","845","845","111.58222198486328","111.58222198486328","111.58222198486328"
"173670400","849","849","849","111.02129364013672","111.02129364013672","111.02129364013672"
"174489600","853","853","853","111.5956802368164","111.5956802368164","111.5956802368164"
"175308800","857","857","857","111.61061096191406","111.61061096191406","111.61061096191406"
"176128000","861","861","861","111.59146118164062","111.59146118164062","111.59146118164062"
"176947200","865","865","865","111.63449096679688","111.63449096679688","111.63449096679688"
"177766400","869","869","869","111.56141662597656","111.56141662597656","111.56141662597656"
"178585600","873","873","873","111.6049575805664","111.6049575805664","111.6049575805664"
"179404800","877","877","877","111.61854553222656","111.61854553222656","111.61854553222656"
"180224000","881","881","881","111.5946044921875","111.5946044921875","111.5946044921875"
"181043200","885","885","885","111.54036712646484","111.54036712646484","111.54036712646484"
"181862400","889","889","889","111.55754852294922","111.55754852294922","111.55754852294922"
"182681600","893","893","893","111.56049346923828","111.56049346923828","111.56049346923828"
"183500800","897","897","897","111.58182525634766","111.58182525634766","111.58182525634766"
"184320000","901","901","901","111.61589813232422","111.61589813232422","111.61589813232422"
"185139200","905","905","905","111.57329559326172","111.57329559326172","111.57329559326172"
"185958400","909","909","909","111.52533721923828","111.52533721923828","111.52533721923828"
"186777600","913","913","913","111.57328033447266","111.57328033447266","111.57328033447266"
"187596800","917","917","917","111.52156066894531","111.52156066894531","111.52156066894531"
"188416000","921","921","921","111.591064453125","111.591064453125","111.591064453125"
"189235200","925","925","925","110.59596252441406","110.59596252441406","110.59596252441406"
"190054400","929","929","929","111.06100463867188","111.06100463867188","111.06100463867188"
"190873600","933","933","933","111.54386138916016","111.54386138916016","111.54386138916016"
"191692800","937","937","937","111.58763122558594","111.58763122558594","111.58763122558594"
"192512000","941","941","941","111.61695861816406","111.61695861816406","111.61695861816406"
"193331200","945","945","945","111.53097534179688","111.53097534179688","111.53097534179688"
"194150400","949","949","949","110.97347259521484","110.97347259521484","110.97347259521484"
"194969600","953","953","953","111.61117553710938","111.61117553710938","111.61117553710938"
"195788800","957","957","957","111.62594604492188","111.62594604492188","111.62594604492188"
"196608000","961","961","961","111.55712890625","111.55712890625","111.55712890625"
"197427200","965","965","965","111.58842468261719","111.58842468261719","111.58842468261719"
"198246400","969","969","969","111.58175659179688","111.58175659179688","111.58175659179688"
"199065600","973","973","973","111.60126495361328","111.60126495361328","111.60126495361328"
"199884800","977","977","977","111.61060333251953","111.61060333251953","111.61060333251953"
"200704000","981","981","981","111.55136108398438","111.55136108398438","111.55136108398438"
"201523200","985","985","985","111.5947036743164","111.5947036743164","111.5947036743164"
"202342400","989","989","989","111.61116027832031","111.61116027832031","111.61116027832031"
"203161600","993","993","993","111.6195297241211","111.6195297241211","111.6195297241211"
"203980800","997","997","997","111.63127899169922","111.63127899169922","111.63127899169922"
"204800000","1001","1001","1001","111.62285614013672","111.62285614013672","111.62285614013672"
"205619200","1005","1005","1005","111.69459533691406","111.69459533691406","111.69459533691406"
"206438400","1009","1009","1009","111.72270202636719","111.72270202636719","111.72270202636719"
"207257600","1013","1013","1013","111.68287658691406","111.68287658691406","111.68287658691406"
"208076800","1017","1017","1017","111.71575927734375","111.71575927734375","111.71575927734375"
"208896000","1021","1021","1021","111.69246673583984","111.69246673583984","111.69246673583984"
"209715200","1025","1025","1025","111.70613098144531","111.70613098144531","111.70613098144531"
"210534400","1029","1029","1029","111.69783782958984","111.69783782958984","111.69783782958984"
"211353600","1033","1033","1033","111.71296691894531","111.71296691894531","111.71296691894531"
"212172800","1037","1037","1037","111.67806243896484","111.67806243896484","111.67806243896484"
"212992000","1041","1041","1041","111.66828155517578","111.66828155517578","111.66828155517578"
"213811200","1045","1045","1045","111.66458129882812","111.66458129882812","111.66458129882812"
"214630400","1049","1049","1049","111.68214416503906","111.68214416503906","111.68214416503906"
"215449600","1053","1053","1053","111.67250061035156","111.67250061035156","111.67250061035156"
"216268800","1057","1057","1057","111.64888763427734","111.64888763427734","111.64888763427734"
"217088000","1061","1061","1061","111.61158752441406","111.61158752441406","111.61158752441406"
"217907200","1065","1065","1065","111.64892578125","111.64892578125","111.64892578125"
"218726400","1069","1069","1069","111.65438079833984","111.65438079833984","111.65438079833984"
"219545600","1073","1073","1073","111.62885284423828","111.62885284423828","111.62885284423828"
"220364800","1077","1077","1077","111.66571044921875","111.66571044921875","111.66571044921875"
"221184000","1081","1081","1081","111.09687042236328","111.09687042236328","111.09687042236328"
"222003200","1085","1085","1085","111.58106994628906","111.58106994628906","111.58106994628906"
"222822400","1089","1089","1089","111.64144134521484","111.64144134521484","111.64144134521484"
"223641600","1093","1093","1093","111.6723403930664","111.6723403930664","111.6723403930664"
"224460800","1097","1097","1097","110.99393463134766","110.99393463134766","110.99393463134766"
"225280000","1101","1101","1101","111.66114044189453","111.66114044189453","111.66114044189453"
"226099200","1105","1105","1105","111.69221496582031","111.69221496582031","111.69221496582031"
"226918400","1109","1109","1109","111.68419647216797","111.68419647216797","111.68419647216797"
"227737600","1113","1113","1113","111.63948059082031","111.63948059082031","111.63948059082031"
"228556800","1117","1117","1117","111.63236236572266","111.63236236572266","111.63236236572266"
"229376000","1121","1121","1121","111.64939880371094","111.64939880371094","111.64939880371094"
"230195200","1125","1125","1125","111.62156677246094","111.62156677246094","111.62156677246094"
"231014400","1129","1129","1129","111.57876586914062","111.57876586914062","111.57876586914062"
"231833600","1133","1133","1133","111.6370849609375","111.6370849609375","111.6370849609375"
"232652800","1137","1137","1137","111.10572814941406","111.10572814941406","111.10572814941406"
"233472000","1141","1141","1141","111.6113052368164","111.6113052368164","111.6113052368164"
"234291200","1145","1145","1145","111.61180114746094","111.61180114746094","111.61180114746094"
"235110400","1149","1149","1149","111.64984130859375","111.64984130859375","111.64984130859375"
"235929600","1153","1153","1153","111.65251922607422","111.65251922607422","111.65251922607422"
"236748800","1157","1157","1157","111.62240600585938","111.62240600585938","111.62240600585938"
"237568000","1161","1161","1161","111.63762664794922","111.63762664794922","111.63762664794922"
"238387200","1165","1165","1165","111.6535415649414","111.6535415649414","111.6535415649414"
"239206400","1169","1169","1169","111.65385437011719","111.65385437011719","111.65385437011719"
"240025600","1173","1173","1173","111.61310577392578","111.61310577392578","111.61310577392578"
"240844800","1177","1177","1177","111.61869049072266","111.61869049072266","111.61869049072266"
"241664000","1181","1181","1181","111.58061218261719","111.58061218261719","111.58061218261719"
"242483200","1185","1185","1185","111.73097229003906","111.73097229003906","111.73097229003906"
"243302400","1189","1189","1189","111.52400970458984","111.52400970458984","111.52400970458984"
"244121600","1193","1193","1193","111.55033874511719","111.55033874511719","111.55033874511719"
"244940800","1197","1197","1197","111.55796813964844","111.55796813964844","111.55796813964844"
