"global_step","DRRandom_04-01-36-40 - _step","DRRandom_04-01-36-40 - _step__MIN","DRRandom_04-01-36-40 - _step__MAX","DRRandom_04-01-36-40 - rewards/step","DRRandom_04-01-36-40 - rewards/step__MIN","DRRandom_04-01-36-40 - rewards/step__MAX"
"23592960","181","181","181","1.4335482120513916","1.4335482120513916","1.4335482120513916"
"24117248","185","185","185","2.696253538131714","2.696253538131714","2.696253538131714"
"24641536","189","189","189","2.398153066635132","2.398153066635132","2.398153066635132"
"25165824","193","193","193","2.4099087715148926","2.4099087715148926","2.4099087715148926"
"25690112","197","197","197","2.7465898990631104","2.7465898990631104","2.7465898990631104"
"26214400","201","201","201","3.97249174118042","3.97249174118042","3.97249174118042"
"26738688","205","205","205","3.346561908721924","3.346561908721924","3.346561908721924"
"27262976","209","209","209","3.4159841537475586","3.4159841537475586","3.4159841537475586"
"27787264","213","213","213","3.327515125274658","3.327515125274658","3.327515125274658"
"28311552","217","217","217","5.5967912673950195","5.5967912673950195","5.5967912673950195"
"28835840","221","221","221","4.548314571380615","4.548314571380615","4.548314571380615"
"29360128","225","225","225","4.858432292938232","4.858432292938232","4.858432292938232"
"29884416","229","229","229","4.444987773895264","4.444987773895264","4.444987773895264"
"30408704","233","233","233","4.528277397155762","4.528277397155762","4.528277397155762"
"30932992","237","237","237","4.35915994644165","4.35915994644165","4.35915994644165"
"31457280","241","241","241","5.180097579956055","5.180097579956055","5.180097579956055"
"31981568","245","245","245","5.711843967437744","5.711843967437744","5.711843967437744"
"32505856","249","249","249","5.015649795532227","5.015649795532227","5.015649795532227"
"33030144","253","253","253","5.632214069366455","5.632214069366455","5.632214069366455"
"33554432","257","257","257","6.483635902404785","6.483635902404785","6.483635902404785"
"34078720","261","261","261","5.238961219787598","5.238961219787598","5.238961219787598"
"34603008","265","265","265","5.3114824295043945","5.3114824295043945","5.3114824295043945"
"35127296","269","269","269","5.898423194885254","5.898423194885254","5.898423194885254"
"35651584","273","273","273","5.857895851135254","5.857895851135254","5.857895851135254"
"36175872","277","277","277","7.495978832244873","7.495978832244873","7.495978832244873"
"36700160","281","281","281","7.69796085357666","7.69796085357666","7.69796085357666"
"37224448","285","285","285","7.598081588745117","7.598081588745117","7.598081588745117"
"37748736","289","289","289","7.032157897949219","7.032157897949219","7.032157897949219"
"38273024","293","293","293","8.196883201599121","8.196883201599121","8.196883201599121"
"38797312","297","297","297","7.076263427734375","7.076263427734375","7.076263427734375"
"39321600","301","301","301","6.355807781219482","6.355807781219482","6.355807781219482"
"39845888","305","305","305","6.956582069396973","6.956582069396973","6.956582069396973"
"40370176","309","309","309","8.02377986907959","8.02377986907959","8.02377986907959"
"40894464","313","313","313","7.461781978607178","7.461781978607178","7.461781978607178"
"41418752","317","317","317","9.390264511108398","9.390264511108398","9.390264511108398"
"41943040","321","321","321","8.135637283325195","8.135637283325195","8.135637283325195"
"42467328","325","325","325","8.685413360595703","8.685413360595703","8.685413360595703"
"42991616","329","329","329","8.45504093170166","8.45504093170166","8.45504093170166"
"43515904","333","333","333","9.237274169921875","9.237274169921875","9.237274169921875"
"44040192","337","337","337","9.003511428833008","9.003511428833008","9.003511428833008"
"44564480","341","341","341","9.735776901245117","9.735776901245117","9.735776901245117"
"45088768","345","345","345","8.842029571533203","8.842029571533203","8.842029571533203"
"45613056","349","349","349","8.356009483337402","8.356009483337402","8.356009483337402"
"46137344","353","353","353","8.78186321258545","8.78186321258545","8.78186321258545"
"46661632","357","357","357","8.473501205444336","8.473501205444336","8.473501205444336"
"47185920","361","361","361","7.875216484069824","7.875216484069824","7.875216484069824"
"47710208","365","365","365","10.863561630249023","10.863561630249023","10.863561630249023"
"48234496","369","369","369","10.92870807647705","10.92870807647705","10.92870807647705"
"48758784","373","373","373","9.891996383666992","9.891996383666992","9.891996383666992"
"49283072","377","377","377","10.581414222717285","10.581414222717285","10.581414222717285"
"49807360","381","381","381","11.111297607421875","11.111297607421875","11.111297607421875"
"50331648","385","385","385","11.202489852905273","11.202489852905273","11.202489852905273"
"50855936","389","389","389","9.717202186584473","9.717202186584473","9.717202186584473"
"51380224","393","393","393","9.249502182006836","9.249502182006836","9.249502182006836"
"51904512","397","397","397","11.455327033996582","11.455327033996582","11.455327033996582"
"52428800","401","401","401","12.160061836242676","12.160061836242676","12.160061836242676"
"52953088","405","405","405","11.170998573303223","11.170998573303223","11.170998573303223"
"53477376","409","409","409","10.826078414916992","10.826078414916992","10.826078414916992"
"54001664","413","413","413","13.39550495147705","13.39550495147705","13.39550495147705"
"54525952","417","417","417","11.6703462600708","11.6703462600708","11.6703462600708"
"55050240","421","421","421","12.425067901611328","12.425067901611328","12.425067901611328"
"55574528","425","425","425","12.645621299743652","12.645621299743652","12.645621299743652"
"56098816","429","429","429","12.416131019592285","12.416131019592285","12.416131019592285"
"56623104","433","433","433","13.557757377624512","13.557757377624512","13.557757377624512"
"57147392","437","437","437","12.933839797973633","12.933839797973633","12.933839797973633"
"57671680","441","441","441","12.24813175201416","12.24813175201416","12.24813175201416"
"58195968","445","445","445","13.285407066345215","13.285407066345215","13.285407066345215"
"58720256","449","449","449","12.08979606628418","12.08979606628418","12.08979606628418"
"59244544","453","453","453","11.925048828125","11.925048828125","11.925048828125"
"59768832","457","457","457","12.318099021911621","12.318099021911621","12.318099021911621"
"60293120","461","461","461","13.294046401977539","13.294046401977539","13.294046401977539"
"60817408","465","465","465","11.868478775024414","11.868478775024414","11.868478775024414"
"61341696","469","469","469","14.093385696411133","14.093385696411133","14.093385696411133"
"61865984","473","473","473","12.793441772460938","12.793441772460938","12.793441772460938"
"62390272","477","477","477","12.845634460449219","12.845634460449219","12.845634460449219"
"62914560","481","481","481","13.926803588867188","13.926803588867188","13.926803588867188"
"63438848","485","485","485","14.211867332458496","14.211867332458496","14.211867332458496"
"63963136","489","489","489","14.255495071411133","14.255495071411133","14.255495071411133"
"64487424","493","493","493","13.504536628723145","13.504536628723145","13.504536628723145"
"65011712","497","497","497","14.64664363861084","14.64664363861084","14.64664363861084"
"65536000","501","501","501","13.615312576293945","13.615312576293945","13.615312576293945"
"66060288","505","505","505","13.114545822143555","13.114545822143555","13.114545822143555"
"66584576","509","509","509","15.031878471374512","15.031878471374512","15.031878471374512"
"67108864","513","513","513","14.217687606811523","14.217687606811523","14.217687606811523"
"67633152","517","517","517","12.881147384643555","12.881147384643555","12.881147384643555"
"68157440","521","521","521","13.610173225402832","13.610173225402832","13.610173225402832"
"68681728","525","525","525","14.072223663330078","14.072223663330078","14.072223663330078"
"69206016","529","529","529","14.5737943649292","14.5737943649292","14.5737943649292"
"69730304","533","533","533","14.36269474029541","14.36269474029541","14.36269474029541"
"70254592","537","537","537","14.458353996276855","14.458353996276855","14.458353996276855"
"70778880","541","541","541","13.039351463317871","13.039351463317871","13.039351463317871"
"71303168","545","545","545","14.832974433898926","14.832974433898926","14.832974433898926"
"71827456","549","549","549","15.995213508605957","15.995213508605957","15.995213508605957"
"72351744","553","553","553","14.184707641601562","14.184707641601562","14.184707641601562"
"72876032","557","557","557","13.48001480102539","13.48001480102539","13.48001480102539"
"73400320","561","561","561","14.84802532196045","14.84802532196045","14.84802532196045"
"73924608","565","565","565","14.988025665283203","14.988025665283203","14.988025665283203"
"74448896","569","569","569","15.083688735961914","15.083688735961914","15.083688735961914"
"74973184","573","573","573","13.321744918823242","13.321744918823242","13.321744918823242"
"75497472","577","577","577","14.231606483459473","14.231606483459473","14.231606483459473"
"76021760","581","581","581","15.187663078308105","15.187663078308105","15.187663078308105"
"76546048","585","585","585","16.567981719970703","16.567981719970703","16.567981719970703"
"77070336","589","589","589","14.17117691040039","14.17117691040039","14.17117691040039"
"77594624","593","593","593","14.805374145507812","14.805374145507812","14.805374145507812"
"78118912","597","597","597","14.506991386413574","14.506991386413574","14.506991386413574"
"78643200","601","601","601","15.177936553955078","15.177936553955078","15.177936553955078"
"79167488","605","605","605","14.984538078308105","14.984538078308105","14.984538078308105"
"79691776","609","609","609","14.295291900634766","14.295291900634766","14.295291900634766"
"80216064","613","613","613","16.02602767944336","16.02602767944336","16.02602767944336"
"80740352","617","617","617","15.80523681640625","15.80523681640625","15.80523681640625"
"81264640","621","621","621","14.19070816040039","14.19070816040039","14.19070816040039"
"81788928","625","625","625","15.096528053283691","15.096528053283691","15.096528053283691"
"82313216","629","629","629","15.63527774810791","15.63527774810791","15.63527774810791"
"82837504","633","633","633","15.652462005615234","15.652462005615234","15.652462005615234"
"83361792","637","637","637","16.2967529296875","16.2967529296875","16.2967529296875"
"83886080","641","641","641","16.67084503173828","16.67084503173828","16.67084503173828"
"84410368","645","645","645","16.566181182861328","16.566181182861328","16.566181182861328"
"84934656","649","649","649","15.385445594787598","15.385445594787598","15.385445594787598"
"85458944","653","653","653","17.715370178222656","17.715370178222656","17.715370178222656"
"85983232","657","657","657","15.970561027526855","15.970561027526855","15.970561027526855"
"86507520","661","661","661","18.263521194458008","18.263521194458008","18.263521194458008"
"87031808","665","665","665","17.351469039916992","17.351469039916992","17.351469039916992"
"87556096","669","669","669","16.560077667236328","16.560077667236328","16.560077667236328"
"88080384","673","673","673","17.897634506225586","17.897634506225586","17.897634506225586"
"88604672","677","677","677","17.310874938964844","17.310874938964844","17.310874938964844"
"89128960","681","681","681","18.29283332824707","18.29283332824707","18.29283332824707"
"89653248","685","685","685","16.425058364868164","16.425058364868164","16.425058364868164"
"90177536","689","689","689","16.884002685546875","16.884002685546875","16.884002685546875"
"90701824","693","693","693","16.1484317779541","16.1484317779541","16.1484317779541"
"91226112","697","697","697","16.963987350463867","16.963987350463867","16.963987350463867"
"91750400","701","701","701","17.442874908447266","17.442874908447266","17.442874908447266"
"92274688","705","705","705","16.396068572998047","16.396068572998047","16.396068572998047"
"92798976","709","709","709","16.272077560424805","16.272077560424805","16.272077560424805"
"93323264","713","713","713","16.53850555419922","16.53850555419922","16.53850555419922"
"93847552","717","717","717","17.38491439819336","17.38491439819336","17.38491439819336"
"94371840","721","721","721","15.965706825256348","15.965706825256348","15.965706825256348"
"94896128","725","725","725","17.038002014160156","17.038002014160156","17.038002014160156"
"95420416","729","729","729","17.55840301513672","17.55840301513672","17.55840301513672"
"95944704","733","733","733","16.809335708618164","16.809335708618164","16.809335708618164"
"96468992","737","737","737","16.871936798095703","16.871936798095703","16.871936798095703"
"96993280","741","741","741","15.455503463745117","15.455503463745117","15.455503463745117"
"97517568","745","745","745","17.690086364746094","17.690086364746094","17.690086364746094"
"98041856","749","749","749","15.902101516723633","15.902101516723633","15.902101516723633"
"98566144","753","753","753","16.764707565307617","16.764707565307617","16.764707565307617"
"99090432","757","757","757","15.998292922973633","15.998292922973633","15.998292922973633"
"99614720","761","761","761","17.107608795166016","17.107608795166016","17.107608795166016"
"100139008","765","765","765","17.985027313232422","17.985027313232422","17.985027313232422"
"100663296","769","769","769","17.392263412475586","17.392263412475586","17.392263412475586"
"101187584","773","773","773","16.993005752563477","16.993005752563477","16.993005752563477"
"101711872","777","777","777","17.269752502441406","17.269752502441406","17.269752502441406"
"102236160","781","781","781","17.84700584411621","17.84700584411621","17.84700584411621"
"102760448","785","785","785","16.59161376953125","16.59161376953125","16.59161376953125"
"103284736","789","789","789","18.790855407714844","18.790855407714844","18.790855407714844"
"103809024","793","793","793","16.701332092285156","16.701332092285156","16.701332092285156"
"104333312","797","797","797","17.463119506835938","17.463119506835938","17.463119506835938"
"104857600","801","801","801","17.86277961730957","17.86277961730957","17.86277961730957"
"105381888","805","805","805","17.67930793762207","17.67930793762207","17.67930793762207"
"105906176","809","809","809","16.704235076904297","16.704235076904297","16.704235076904297"
"106430464","813","813","813","17.214380264282227","17.214380264282227","17.214380264282227"
"106954752","817","817","817","17.956201553344727","17.956201553344727","17.956201553344727"
"107479040","821","821","821","17.487735748291016","17.487735748291016","17.487735748291016"
"108003328","825","825","825","16.650890350341797","16.650890350341797","16.650890350341797"
"108527616","829","829","829","17.702327728271484","17.702327728271484","17.702327728271484"
"109051904","833","833","833","18.731836318969727","18.731836318969727","18.731836318969727"
"109576192","837","837","837","17.77153778076172","17.77153778076172","17.77153778076172"
"110100480","841","841","841","16.265533447265625","16.265533447265625","16.265533447265625"
"110624768","845","845","845","16.20798110961914","16.20798110961914","16.20798110961914"
"111149056","849","849","849","16.805805206298828","16.805805206298828","16.805805206298828"
"111673344","853","853","853","18.205427169799805","18.205427169799805","18.205427169799805"
"112197632","857","857","857","15.137115478515625","15.137115478515625","15.137115478515625"
"112721920","861","861","861","18.92324447631836","18.92324447631836","18.92324447631836"
"113246208","865","865","865","17.50577163696289","17.50577163696289","17.50577163696289"
"113770496","869","869","869","17.724130630493164","17.724130630493164","17.724130630493164"
"114294784","873","873","873","18.013927459716797","18.013927459716797","18.013927459716797"
"114819072","877","877","877","17.67316436767578","17.67316436767578","17.67316436767578"
"115343360","881","881","881","18.29081153869629","18.29081153869629","18.29081153869629"
"115867648","885","885","885","17.222124099731445","17.222124099731445","17.222124099731445"
"116391936","889","889","889","15.867828369140625","15.867828369140625","15.867828369140625"
"116916224","893","893","893","17.77008056640625","17.77008056640625","17.77008056640625"
"117440512","897","897","897","19.53740882873535","19.53740882873535","19.53740882873535"
"117964800","901","901","901","17.444637298583984","17.444637298583984","17.444637298583984"
"118489088","905","905","905","17.575620651245117","17.575620651245117","17.575620651245117"
"119013376","909","909","909","18.102182388305664","18.102182388305664","18.102182388305664"
"119537664","913","913","913","17.76811981201172","17.76811981201172","17.76811981201172"
"120061952","917","917","917","19.237674713134766","19.237674713134766","19.237674713134766"
"120586240","921","921","921","19.45903205871582","19.45903205871582","19.45903205871582"
"121110528","925","925","925","17.631460189819336","17.631460189819336","17.631460189819336"
"121634816","929","929","929","18.288610458374023","18.288610458374023","18.288610458374023"
"122159104","933","933","933","18.93093490600586","18.93093490600586","18.93093490600586"
"122683392","937","937","937","19.945600509643555","19.945600509643555","19.945600509643555"
"123207680","941","941","941","18.339038848876953","18.339038848876953","18.339038848876953"
"123731968","945","945","945","18.302593231201172","18.302593231201172","18.302593231201172"
"124256256","949","949","949","18.15715980529785","18.15715980529785","18.15715980529785"
"124780544","953","953","953","17.94386863708496","17.94386863708496","17.94386863708496"
"125304832","957","957","957","17.260969161987305","17.260969161987305","17.260969161987305"
"125829120","961","961","961","19.87352180480957","19.87352180480957","19.87352180480957"
"126353408","965","965","965","19.03064727783203","19.03064727783203","19.03064727783203"
"126877696","969","969","969","19.035905838012695","19.035905838012695","19.035905838012695"
"127401984","973","973","973","19.56495475769043","19.56495475769043","19.56495475769043"
"127926272","977","977","977","18.90170669555664","18.90170669555664","18.90170669555664"
"128450560","981","981","981","16.69009017944336","16.69009017944336","16.69009017944336"
"128974848","985","985","985","20.09821319580078","20.09821319580078","20.09821319580078"
"129499136","989","989","989","18.921838760375977","18.921838760375977","18.921838760375977"
"130023424","993","993","993","19.033994674682617","19.033994674682617","19.033994674682617"
"130547712","997","997","997","19.97804832458496","19.97804832458496","19.97804832458496"
"131072000","1001","1001","1001","18.95407485961914","18.95407485961914","18.95407485961914"
"131596288","1005","1005","1005","17.053464889526367","17.053464889526367","17.053464889526367"
"132120576","1009","1009","1009","18.605226516723633","18.605226516723633","18.605226516723633"
"132644864","1013","1013","1013","18.444868087768555","18.444868087768555","18.444868087768555"
"133169152","1017","1017","1017","19.311338424682617","19.311338424682617","19.311338424682617"
"133693440","1021","1021","1021","17.823732376098633","17.823732376098633","17.823732376098633"
"134217728","1025","1025","1025","18.34840202331543","18.34840202331543","18.34840202331543"
"134742016","1029","1029","1029","18.89936637878418","18.89936637878418","18.89936637878418"
"135266304","1033","1033","1033","17.103801727294922","17.103801727294922","17.103801727294922"
"135790592","1037","1037","1037","20.090726852416992","20.090726852416992","20.090726852416992"
"136314880","1041","1041","1041","20.04531478881836","20.04531478881836","20.04531478881836"
"136839168","1045","1045","1045","19.39667510986328","19.39667510986328","19.39667510986328"
"137363456","1049","1049","1049","20.140832901000977","20.140832901000977","20.140832901000977"
"137887744","1053","1053","1053","18.41566276550293","18.41566276550293","18.41566276550293"
"138412032","1057","1057","1057","20.79224967956543","20.79224967956543","20.79224967956543"
"138936320","1061","1061","1061","18.63809585571289","18.63809585571289","18.63809585571289"
"139460608","1065","1065","1065","20.733606338500977","20.733606338500977","20.733606338500977"
"139984896","1069","1069","1069","17.112146377563477","17.112146377563477","17.112146377563477"
"140509184","1073","1073","1073","19.06810760498047","19.06810760498047","19.06810760498047"
"141033472","1077","1077","1077","17.50244140625","17.50244140625","17.50244140625"
"141557760","1081","1081","1081","18.958232879638672","18.958232879638672","18.958232879638672"
"142082048","1085","1085","1085","19.678985595703125","19.678985595703125","19.678985595703125"
"142606336","1089","1089","1089","18.804880142211914","18.804880142211914","18.804880142211914"
"143130624","1093","1093","1093","19.926301956176758","19.926301956176758","19.926301956176758"
"143654912","1097","1097","1097","20.809574127197266","20.809574127197266","20.809574127197266"
"144179200","1101","1101","1101","19.68830680847168","19.68830680847168","19.68830680847168"
"144703488","1105","1105","1105","20.323955535888672","20.323955535888672","20.323955535888672"
"145227776","1109","1109","1109","19.482879638671875","19.482879638671875","19.482879638671875"
"145752064","1113","1113","1113","18.735668182373047","18.735668182373047","18.735668182373047"
"146276352","1117","1117","1117","20.530317306518555","20.530317306518555","20.530317306518555"
"146800640","1121","1121","1121","19.84680938720703","19.84680938720703","19.84680938720703"
"147324928","1125","1125","1125","20.3435001373291","20.3435001373291","20.3435001373291"
"147849216","1129","1129","1129","19.566450119018555","19.566450119018555","19.566450119018555"
"148373504","1133","1133","1133","18.7947940826416","18.7947940826416","18.7947940826416"
"148897792","1137","1137","1137","20.646312713623047","20.646312713623047","20.646312713623047"
"149422080","1141","1141","1141","21.101102828979492","21.101102828979492","21.101102828979492"
"149946368","1145","1145","1145","21.168840408325195","21.168840408325195","21.168840408325195"
"150470656","1149","1149","1149","20.98623275756836","20.98623275756836","20.98623275756836"
"150994944","1153","1153","1153","22.0360050201416","22.0360050201416","22.0360050201416"
"151519232","1157","1157","1157","20.00628662109375","20.00628662109375","20.00628662109375"
"152043520","1161","1161","1161","21.690837860107422","21.690837860107422","21.690837860107422"
"152567808","1165","1165","1165","20.03672218322754","20.03672218322754","20.03672218322754"
"153092096","1169","1169","1169","20.100364685058594","20.100364685058594","20.100364685058594"
"153616384","1173","1173","1173","19.22365951538086","19.22365951538086","19.22365951538086"
"154140672","1177","1177","1177","20.53072738647461","20.53072738647461","20.53072738647461"
"154664960","1181","1181","1181","20.65635871887207","20.65635871887207","20.65635871887207"
"155189248","1185","1185","1185","19.94749641418457","19.94749641418457","19.94749641418457"
"155713536","1189","1189","1189","19.074411392211914","19.074411392211914","19.074411392211914"
"156237824","1193","1193","1193","20.407791137695312","20.407791137695312","20.407791137695312"
"156762112","1197","1197","1197","21.590404510498047","21.590404510498047","21.590404510498047"
"157286400","1201","1201","1201","20.276805877685547","20.276805877685547","20.276805877685547"
"157810688","1205","1205","1205","20.114177703857422","20.114177703857422","20.114177703857422"
"158334976","1209","1209","1209","19.68995475769043","19.68995475769043","19.68995475769043"
"158859264","1213","1213","1213","20.724609375","20.724609375","20.724609375"
"159383552","1217","1217","1217","20.660024642944336","20.660024642944336","20.660024642944336"
"159907840","1221","1221","1221","21.72004508972168","21.72004508972168","21.72004508972168"
"160432128","1225","1225","1225","20.3411865234375","20.3411865234375","20.3411865234375"
"160956416","1229","1229","1229","21.670373916625977","21.670373916625977","21.670373916625977"
"161480704","1233","1233","1233","20.68627166748047","20.68627166748047","20.68627166748047"
"162004992","1237","1237","1237","22.88677978515625","22.88677978515625","22.88677978515625"
"162529280","1241","1241","1241","19.746999740600586","19.746999740600586","19.746999740600586"
"163053568","1245","1245","1245","21.57329559326172","21.57329559326172","21.57329559326172"
"163577856","1249","1249","1249","21.742496490478516","21.742496490478516","21.742496490478516"
"164102144","1253","1253","1253","21.07940673828125","21.07940673828125","21.07940673828125"
"164626432","1257","1257","1257","21.93360710144043","21.93360710144043","21.93360710144043"
"165150720","1261","1261","1261","20.649383544921875","20.649383544921875","20.649383544921875"
"165675008","1265","1265","1265","21.320709228515625","21.320709228515625","21.320709228515625"
"166199296","1269","1269","1269","21.199941635131836","21.199941635131836","21.199941635131836"
"166723584","1273","1273","1273","21.394664764404297","21.394664764404297","21.394664764404297"
"167247872","1277","1277","1277","21.74620819091797","21.74620819091797","21.74620819091797"
"167772160","1281","1281","1281","21.925777435302734","21.925777435302734","21.925777435302734"
"168296448","1285","1285","1285","21.326128005981445","21.326128005981445","21.326128005981445"
"168820736","1289","1289","1289","22.95232391357422","22.95232391357422","22.95232391357422"
"169345024","1293","1293","1293","19.294021606445312","19.294021606445312","19.294021606445312"
"169869312","1297","1297","1297","22.264944076538086","22.264944076538086","22.264944076538086"
"170393600","1301","1301","1301","21.08346176147461","21.08346176147461","21.08346176147461"
"170917888","1305","1305","1305","20.475942611694336","20.475942611694336","20.475942611694336"
"171442176","1309","1309","1309","21.852764129638672","21.852764129638672","21.852764129638672"
"171966464","1313","1313","1313","22.760475158691406","22.760475158691406","22.760475158691406"
"172490752","1317","1317","1317","22.602746963500977","22.602746963500977","22.602746963500977"
"173015040","1321","1321","1321","21.87034797668457","21.87034797668457","21.87034797668457"
"173539328","1325","1325","1325","21.34390640258789","21.34390640258789","21.34390640258789"
"174063616","1329","1329","1329","21.359289169311523","21.359289169311523","21.359289169311523"
"174587904","1333","1333","1333","21.15892791748047","21.15892791748047","21.15892791748047"
"175112192","1337","1337","1337","22.49742889404297","22.49742889404297","22.49742889404297"
"175636480","1341","1341","1341","22.084930419921875","22.084930419921875","22.084930419921875"
"176160768","1345","1345","1345","22.35869026184082","22.35869026184082","22.35869026184082"
"176685056","1349","1349","1349","22.68336296081543","22.68336296081543","22.68336296081543"
"177209344","1353","1353","1353","21.627092361450195","21.627092361450195","21.627092361450195"
"177733632","1357","1357","1357","21.424203872680664","21.424203872680664","21.424203872680664"
"178257920","1361","1361","1361","23.195480346679688","23.195480346679688","23.195480346679688"
"178782208","1365","1365","1365","23.203197479248047","23.203197479248047","23.203197479248047"
"179306496","1369","1369","1369","22.91529655456543","22.91529655456543","22.91529655456543"
"179830784","1373","1373","1373","22.704946517944336","22.704946517944336","22.704946517944336"
"180355072","1377","1377","1377","21.412776947021484","21.412776947021484","21.412776947021484"
"180879360","1381","1381","1381","22.230804443359375","22.230804443359375","22.230804443359375"
"181403648","1385","1385","1385","22.22483253479004","22.22483253479004","22.22483253479004"
"181927936","1389","1389","1389","22.24211883544922","22.24211883544922","22.24211883544922"
"182452224","1393","1393","1393","21.054906845092773","21.054906845092773","21.054906845092773"
"182976512","1397","1397","1397","21.66803741455078","21.66803741455078","21.66803741455078"
"183500800","1401","1401","1401","23.816190719604492","23.816190719604492","23.816190719604492"
"184025088","1405","1405","1405","22.68573760986328","22.68573760986328","22.68573760986328"
"184549376","1409","1409","1409","23.052291870117188","23.052291870117188","23.052291870117188"
"185073664","1413","1413","1413","22.981727600097656","22.981727600097656","22.981727600097656"
"185597952","1417","1417","1417","23.066869735717773","23.066869735717773","23.066869735717773"
"186122240","1421","1421","1421","22.162372589111328","22.162372589111328","22.162372589111328"
"186646528","1425","1425","1425","22.000436782836914","22.000436782836914","22.000436782836914"
"187170816","1429","1429","1429","23.527990341186523","23.527990341186523","23.527990341186523"
"187695104","1433","1433","1433","22.694116592407227","22.694116592407227","22.694116592407227"
"188219392","1437","1437","1437","23.55553436279297","23.55553436279297","23.55553436279297"
"188743680","1441","1441","1441","23.333036422729492","23.333036422729492","23.333036422729492"
"189267968","1445","1445","1445","24.270410537719727","24.270410537719727","24.270410537719727"
"189792256","1449","1449","1449","23.168195724487305","23.168195724487305","23.168195724487305"
"190316544","1453","1453","1453","22.74358558654785","22.74358558654785","22.74358558654785"
"190840832","1457","1457","1457","23.148221969604492","23.148221969604492","23.148221969604492"
"191365120","1461","1461","1461","22.77355194091797","22.77355194091797","22.77355194091797"
"191889408","1465","1465","1465","22.89710235595703","22.89710235595703","22.89710235595703"
